Lote,FechaInicioPlantacion,FechaFinPlantacion,Precipitacion_mm (400-1000),Temperatura_C (18-28),Humedad_porcentaje (50-90),HorasSol_dia (12-13),Altitud_msnm (0-3200),CostoTotal_USD (3000-5000),Produccion_qt (400-500),Produccion_kg (40000-50000),Fertilizante_NPK (N-P-K),ModoRiego (Aspersion/Goteo/Gravedad),Riego_Etapa1_mm (20-50),Riego_Etapa2_mm (30-60),Riego_Etapa3_mm (40-70),DistanciaMecanizacion_m (10-50),DistanciaSiembra_m (0.5-1.0),TipoSuelo (Arenoso/Arcilloso/Franco),pH_Suelo (5.5-7.5)
4719,3570-02-04,3570-06-04,483.16,24.71,58.34,12.6,728.3,4181.73,433.95,43255.0,N-17 P-17 K-18,Gravedad,28.49,48.32,41.53,36.81,0.5,Franco,5.9
4720,3570-06-04,3570-10-02,746.66,27.53,63.12,12.84,2810.43,3312.33,458.69,48420.0,N-10 P-19 K-20,Aspersion,36.5,47.48,51.03,12.52,1.0,Arenoso,7.5
4721,3570-10-02,3571-01-30,832.07,25.75,58.43,12.12,2947.19,3195.45,427.78,43806.0,N-14 P-10 K-19,Gravedad,22.56,56.45,48.26,23.15,0.7,Arcilloso,5.6
4722,3571-01-30,3571-05-30,841.31,22.26,78.27,12.82,794.1,4403.05,406.9,45774.0,N-11 P-15 K-11,Gravedad,31.46,46.45,67.64,22.35,0.8,Arenoso,6.3
4723,3571-05-30,3571-09-27,995.09,18.94,87.93,12.61,2038.04,3257.04,494.92,41465.0,N-10 P-10 K-20,Gravedad,24.69,43.31,42.0,28.41,0.6,Arenoso,6.9
4724,3571-09-27,3572-01-25,501.47,25.27,67.62,12.46,2321.77,3883.11,424.55,43181.0,N-18 P-13 K-19,Goteo,46.16,43.37,53.88,16.67,0.5,Arenoso,6.8
4725,3572-01-25,3572-05-24,999.12,20.02,63.91,12.51,3119.77,4453.3,479.71,46811.0,N-13 P-20 K-20,Aspersion,24.13,38.83,65.89,32.1,0.7,Arenoso,7.2
4726,3572-05-24,3572-09-21,753.91,26.03,72.28,12.41,2310.26,3141.11,474.16,49172.0,N-19 P-20 K-19,Goteo,46.83,36.38,59.02,31.48,0.9,Arenoso,7.2
4727,3572-09-21,3573-01-19,846.86,22.97,59.22,12.96,1648.83,3627.02,402.52,49631.0,N-19 P-13 K-10,Goteo,31.21,59.62,53.27,30.26,0.9,Arcilloso,6.2
4728,3573-01-19,3573-05-19,890.43,25.43,67.19,12.9,1588.61,4972.41,454.2,45482.0,N-10 P-17 K-15,Aspersion,47.7,48.17,43.7,18.75,0.6,Franco,6.2
4729,3573-05-19,3573-09-16,765.16,24.67,61.4,12.46,193.72,3868.03,483.35,46200.0,N-16 P-12 K-10,Aspersion,46.11,37.96,56.69,41.29,0.6,Arenoso,7.2
4730,3573-09-16,3574-01-14,511.52,22.71,76.32,12.16,902.65,4795.19,467.97,48816.0,N-12 P-11 K-15,Gravedad,37.98,56.01,45.36,24.18,0.7,Arcilloso,5.7
4731,3574-01-14,3574-05-14,810.55,18.67,62.23,12.47,139.84,3863.42,465.09,40850.0,N-17 P-16 K-16,Aspersion,48.52,33.19,40.27,24.18,0.9,Arenoso,5.6
4732,3574-05-14,3574-09-11,508.85,19.04,78.59,12.84,2266.22,4440.2,494.8,48433.0,N-16 P-20 K-20,Aspersion,20.95,50.84,60.32,26.92,0.6,Franco,6.8
4733,3574-09-11,3575-01-09,706.51,18.59,64.93,12.35,68.17,3453.48,422.23,48543.0,N-11 P-20 K-12,Goteo,37.95,45.84,59.03,24.67,0.6,Franco,6.0
4734,3575-01-09,3575-05-09,904.47,23.17,74.66,12.35,102.07,3299.91,462.96,47311.0,N-11 P-13 K-19,Goteo,30.73,54.26,63.54,34.27,1.0,Arcilloso,6.9
4735,3575-05-09,3575-09-06,838.35,22.24,58.71,12.65,518.48,4006.0,425.19,47689.0,N-13 P-14 K-19,Gravedad,41.04,36.1,53.71,27.38,0.7,Arenoso,5.8
4736,3575-09-06,3576-01-04,760.59,27.41,76.57,12.5,768.22,4879.3,417.67,48947.0,N-20 P-19 K-11,Gravedad,26.63,37.76,54.37,19.66,0.8,Arenoso,6.2
4737,3576-01-04,3576-05-03,511.9,23.93,82.39,12.77,330.62,4661.01,465.0,45084.0,N-17 P-19 K-14,Gravedad,46.9,31.03,66.5,34.66,1.0,Franco,7.3
4738,3576-05-03,3576-08-31,416.71,23.9,58.37,12.98,1453.55,3408.69,477.0,43847.0,N-11 P-15 K-17,Gravedad,20.67,41.05,54.26,27.54,0.7,Arcilloso,5.8
4739,3576-08-31,3576-12-29,607.59,18.99,56.52,12.28,2013.61,3987.49,443.47,42930.0,N-15 P-10 K-14,Goteo,38.16,32.42,49.55,41.61,0.6,Franco,6.1
4740,3576-12-29,3577-04-28,930.3,27.56,59.02,12.43,1412.56,4904.5,407.43,41125.0,N-15 P-13 K-17,Gravedad,36.76,45.59,49.42,17.58,0.9,Franco,6.8
4741,3577-04-28,3577-08-26,455.87,21.17,69.03,12.94,1520.36,4254.03,449.12,47926.0,N-19 P-17 K-16,Goteo,42.04,50.23,44.62,19.37,0.6,Franco,6.4
4742,3577-08-26,3577-12-24,776.33,27.83,63.95,12.61,1006.53,3901.2,409.8,43042.0,N-12 P-13 K-10,Goteo,25.13,47.54,46.92,12.68,0.9,Franco,5.7
4743,3577-12-24,3578-04-23,699.26,24.33,82.98,12.03,1445.28,4247.81,415.96,40594.0,N-17 P-16 K-20,Gravedad,38.01,55.53,60.8,21.37,0.5,Franco,5.9
4744,3578-04-23,3578-08-21,479.51,25.6,86.33,12.93,732.65,3178.38,458.55,46178.0,N-11 P-19 K-20,Aspersion,34.63,48.38,45.12,44.47,0.6,Arcilloso,6.9
4745,3578-08-21,3578-12-19,836.7,23.56,84.03,12.13,2169.87,3061.72,428.1,43667.0,N-19 P-17 K-10,Goteo,39.39,40.7,52.61,22.59,0.8,Arcilloso,6.4
4746,3578-12-19,3579-04-18,930.47,19.83,60.22,12.74,1502.38,3713.39,436.28,41927.0,N-14 P-13 K-11,Goteo,21.02,59.53,56.34,30.89,0.8,Arenoso,5.6
4747,3579-04-18,3579-08-16,567.32,21.28,73.42,12.08,2820.5,3747.48,402.15,45796.0,N-10 P-18 K-19,Aspersion,22.06,35.75,57.14,39.41,0.7,Franco,6.3
4748,3579-08-16,3579-12-14,573.89,22.83,61.46,12.4,2427.57,4476.35,468.17,49632.0,N-17 P-14 K-10,Aspersion,22.02,53.48,41.35,39.8,0.9,Arenoso,7.0
4749,3579-12-14,3580-04-12,525.11,23.56,81.51,12.25,1264.56,4408.69,483.3,41869.0,N-10 P-16 K-14,Gravedad,30.38,35.56,51.8,31.52,0.7,Arcilloso,5.5
4750,3580-04-12,3580-08-10,843.83,23.21,58.03,12.18,2216.42,4800.2,433.46,47541.0,N-11 P-10 K-10,Goteo,42.15,54.94,55.64,46.61,0.9,Franco,5.6
4751,3580-08-10,3580-12-08,457.92,26.54,73.15,12.45,2602.21,3290.54,486.36,44612.0,N-15 P-17 K-20,Aspersion,46.18,33.1,53.31,33.13,0.9,Arenoso,5.7
4752,3580-12-08,3581-04-07,718.13,21.24,71.93,12.19,1424.69,4406.63,413.3,42911.0,N-20 P-10 K-15,Aspersion,25.52,55.91,44.64,23.84,0.7,Arenoso,5.8
4753,3581-04-07,3581-08-05,806.35,19.31,67.08,12.87,210.79,4199.36,482.51,46160.0,N-11 P-17 K-20,Aspersion,43.42,57.41,63.35,46.56,0.8,Arenoso,5.8
4754,3581-08-05,3581-12-03,500.78,22.65,79.31,12.47,2958.74,4671.97,429.9,46376.0,N-13 P-15 K-17,Aspersion,40.61,31.31,50.61,27.5,0.8,Franco,7.1
4755,3581-12-03,3582-04-02,639.38,26.44,57.59,12.89,3174.62,4915.82,475.7,47632.0,N-11 P-13 K-15,Goteo,42.06,56.25,67.03,16.08,0.7,Arenoso,6.9
4756,3582-04-02,3582-07-31,596.87,22.67,50.9,12.88,2844.39,3974.57,431.43,49997.0,N-11 P-16 K-13,Aspersion,25.58,45.4,48.78,39.17,0.5,Franco,7.0
4757,3582-07-31,3582-11-28,992.71,21.1,59.39,12.85,2299.23,3677.95,446.93,49358.0,N-10 P-20 K-18,Gravedad,20.7,54.59,67.91,35.95,0.7,Arcilloso,6.3
4758,3582-11-28,3583-03-28,988.8,21.54,82.79,12.6,683.54,3730.07,454.5,43840.0,N-16 P-15 K-13,Goteo,35.99,37.02,43.34,14.28,0.9,Franco,6.6
4759,3583-03-28,3583-07-26,733.06,24.81,83.62,12.88,2584.95,4599.59,457.9,41500.0,N-13 P-20 K-14,Gravedad,49.37,44.23,42.58,31.88,0.6,Arenoso,6.0
4760,3583-07-26,3583-11-23,897.21,24.07,61.49,12.55,1673.05,3489.1,455.82,49629.0,N-20 P-12 K-16,Gravedad,49.15,55.94,63.76,17.4,0.9,Arcilloso,6.7
4761,3583-11-23,3584-03-22,732.29,24.95,89.36,12.13,2905.94,4066.63,429.57,44001.0,N-17 P-10 K-20,Aspersion,30.71,37.57,43.59,33.81,1.0,Arcilloso,6.9
4762,3584-03-22,3584-07-20,442.44,18.46,89.71,12.71,292.89,4759.06,435.25,48211.0,N-14 P-19 K-12,Gravedad,24.31,42.07,50.72,42.28,0.8,Arenoso,5.7
4763,3584-07-20,3584-11-17,738.08,23.62,63.3,12.5,1893.8,4552.85,441.35,45456.0,N-19 P-10 K-14,Goteo,35.3,49.43,41.21,31.35,0.6,Franco,7.2
4764,3584-11-17,3585-03-17,652.59,26.74,52.18,12.9,1377.46,4952.52,479.9,48062.0,N-12 P-18 K-16,Gravedad,24.45,51.58,55.63,37.78,0.7,Franco,6.7
4765,3585-03-17,3585-07-15,507.7,24.03,71.28,12.84,1573.33,4288.52,443.31,40709.0,N-11 P-14 K-18,Goteo,33.57,34.43,42.8,12.53,0.8,Arenoso,7.0
4766,3585-07-15,3585-11-12,791.01,24.84,75.88,12.23,1823.97,3579.79,492.38,41157.0,N-17 P-16 K-18,Aspersion,48.36,56.58,54.05,34.36,0.9,Arcilloso,5.9
4767,3585-11-12,3586-03-12,715.58,26.66,67.79,12.84,2644.01,4112.43,470.58,44875.0,N-19 P-11 K-14,Aspersion,36.32,54.46,60.99,12.26,0.8,Franco,5.9
4768,3586-03-12,3586-07-10,954.07,25.64,56.93,12.31,1726.96,3408.38,478.4,41051.0,N-15 P-15 K-17,Goteo,30.19,46.63,41.75,21.25,0.6,Arenoso,6.1
4769,3586-07-10,3586-11-07,754.55,25.01,70.65,12.05,2822.36,4096.91,444.0,42193.0,N-19 P-13 K-16,Aspersion,48.71,34.25,60.05,44.3,0.8,Franco,5.9
4770,3586-11-07,3587-03-07,895.71,25.75,65.14,12.69,41.82,3806.73,475.64,46214.0,N-13 P-13 K-10,Gravedad,34.16,45.55,50.8,39.05,0.5,Arenoso,6.1
4771,3587-03-07,3587-07-05,663.48,19.83,62.47,12.38,2437.49,3137.17,414.74,43958.0,N-14 P-10 K-12,Gravedad,25.49,52.24,56.88,13.36,0.5,Franco,6.8
4772,3587-07-05,3587-11-02,694.36,27.16,62.58,12.64,511.9,4960.94,459.12,42284.0,N-12 P-17 K-15,Goteo,47.58,44.87,49.04,35.31,0.6,Arenoso,6.1
4773,3587-11-02,3588-03-01,984.08,25.77,81.54,12.56,638.04,4687.59,450.18,46917.0,N-12 P-16 K-14,Aspersion,44.31,57.83,57.12,35.26,0.9,Arcilloso,6.9
4774,3588-03-01,3588-06-29,815.62,20.95,58.46,12.34,2729.95,3726.49,456.07,49185.0,N-15 P-18 K-10,Goteo,46.29,55.96,46.42,20.56,0.5,Arenoso,6.8
4775,3588-06-29,3588-10-27,888.15,20.19,82.64,12.09,2075.21,3483.63,415.3,47057.0,N-13 P-14 K-10,Goteo,23.58,37.19,64.24,17.68,0.7,Arcilloso,6.5
4776,3588-10-27,3589-02-24,554.71,24.23,73.74,12.19,1956.79,4047.31,406.27,45153.0,N-19 P-18 K-18,Aspersion,40.15,45.8,48.68,21.49,0.9,Arcilloso,5.7
4777,3589-02-24,3589-06-24,710.06,19.1,60.32,12.73,1463.66,4185.74,414.36,41343.0,N-19 P-11 K-16,Goteo,48.93,55.93,45.62,12.51,0.8,Arenoso,6.7
4778,3589-06-24,3589-10-22,929.22,22.46,58.12,12.73,528.75,4122.6,459.85,47766.0,N-11 P-19 K-13,Aspersion,42.95,56.39,65.67,25.08,0.6,Arenoso,6.9
4779,3589-10-22,3590-02-19,699.0,21.93,66.11,12.96,2829.8,4323.57,482.41,45227.0,N-16 P-15 K-11,Aspersion,24.09,52.94,64.3,43.85,0.6,Arenoso,7.3
4780,3590-02-19,3590-06-19,837.57,20.12,73.33,12.1,2963.7,4560.11,408.13,48364.0,N-11 P-20 K-19,Gravedad,21.96,55.08,55.11,28.65,0.6,Franco,5.6
4781,3590-06-19,3590-10-17,901.77,27.98,73.93,12.48,75.94,4454.21,411.34,41423.0,N-12 P-11 K-14,Aspersion,45.93,36.73,69.88,35.39,0.5,Arcilloso,7.5
4782,3590-10-17,3591-02-14,872.36,18.28,73.32,12.71,2935.71,4474.73,469.49,44655.0,N-12 P-12 K-17,Goteo,27.2,37.61,57.25,30.84,0.8,Arcilloso,5.7
4783,3591-02-14,3591-06-14,600.92,19.98,68.62,12.69,1255.86,4947.87,409.14,42446.0,N-20 P-12 K-14,Goteo,20.44,54.51,44.64,24.62,0.9,Arcilloso,5.8
4784,3591-06-14,3591-10-12,464.9,23.52,53.55,12.72,2219.07,4134.53,479.87,40727.0,N-18 P-17 K-16,Goteo,26.71,45.26,40.31,49.6,0.9,Franco,6.2
4785,3591-10-12,3592-02-09,680.28,19.97,75.76,12.2,973.16,4872.99,441.65,46732.0,N-17 P-20 K-19,Gravedad,42.7,31.97,54.93,46.83,0.6,Arenoso,6.7
4786,3592-02-09,3592-06-08,712.03,26.84,58.39,12.71,1673.15,3221.93,493.3,42096.0,N-12 P-13 K-20,Goteo,29.6,56.34,45.24,47.06,0.9,Franco,5.6
4787,3592-06-08,3592-10-06,546.28,25.46,64.39,12.49,1479.64,4719.11,488.99,45138.0,N-18 P-15 K-17,Aspersion,35.17,49.07,46.4,39.23,0.7,Franco,6.6
4788,3592-10-06,3593-02-03,696.17,25.05,50.98,12.72,427.88,3686.37,462.15,41974.0,N-18 P-15 K-15,Aspersion,44.29,45.53,53.6,29.23,1.0,Arcilloso,6.1
4789,3593-02-03,3593-06-03,712.64,19.54,87.32,12.94,559.51,3394.52,469.09,46060.0,N-15 P-14 K-13,Gravedad,44.13,32.43,43.01,19.01,0.5,Arcilloso,6.2
4790,3593-06-03,3593-10-01,449.46,23.14,65.43,12.38,1474.46,3722.36,408.9,46977.0,N-19 P-18 K-15,Goteo,45.13,46.67,49.62,20.68,0.6,Arenoso,5.8
4791,3593-10-01,3594-01-29,616.21,25.98,61.65,12.73,3.57,4305.41,477.36,46375.0,N-10 P-13 K-18,Goteo,20.09,45.81,51.59,26.02,0.6,Arcilloso,6.2
4792,3594-01-29,3594-05-29,740.25,27.41,70.05,12.53,1669.48,3786.96,449.9,47682.0,N-20 P-14 K-10,Aspersion,32.01,49.1,64.62,19.33,0.8,Arenoso,6.9
4793,3594-05-29,3594-09-26,461.92,20.89,88.73,12.06,1546.37,3810.1,499.26,43014.0,N-13 P-18 K-18,Goteo,21.88,50.48,40.18,38.6,0.7,Arenoso,5.8
4794,3594-09-26,3595-01-24,690.77,23.66,60.55,12.97,1799.81,3910.18,488.21,49278.0,N-10 P-16 K-19,Aspersion,27.06,58.69,54.76,10.93,0.7,Franco,6.3
4795,3595-01-24,3595-05-24,439.81,23.67,68.98,12.57,1949.56,4847.94,445.71,48884.0,N-10 P-15 K-20,Gravedad,45.64,58.94,50.45,32.98,0.8,Franco,6.9
4796,3595-05-24,3595-09-21,593.69,22.38,69.57,12.63,2019.03,3077.07,426.6,42061.0,N-12 P-11 K-10,Gravedad,49.4,48.22,44.99,11.54,0.7,Franco,7.0
4797,3595-09-21,3596-01-19,620.19,24.4,87.21,12.3,1424.22,3287.04,454.28,43384.0,N-15 P-15 K-13,Goteo,35.15,32.76,49.9,40.1,0.9,Arenoso,5.6
4798,3596-01-19,3596-05-18,696.79,23.85,67.23,12.74,1039.14,3861.07,419.23,41255.0,N-11 P-15 K-20,Gravedad,46.42,38.9,65.96,16.35,0.7,Arenoso,7.1
4799,3596-05-18,3596-09-15,439.94,21.44,56.33,12.17,782.58,4082.16,422.48,49426.0,N-17 P-15 K-20,Gravedad,30.44,32.74,43.01,21.27,0.9,Arcilloso,6.5
4800,3596-09-15,3597-01-13,497.09,25.59,76.7,12.42,410.22,3366.12,468.12,43186.0,N-17 P-19 K-13,Aspersion,32.08,51.66,59.6,13.74,0.6,Arenoso,6.7
4801,3597-01-13,3597-05-13,405.25,18.75,58.96,12.44,3079.31,3867.08,466.9,46877.0,N-18 P-16 K-20,Aspersion,44.17,43.89,43.91,19.86,0.8,Arenoso,5.6
4802,3597-05-13,3597-09-10,556.48,19.18,82.04,12.98,1117.9,4100.93,420.19,44632.0,N-14 P-14 K-11,Goteo,46.01,48.11,46.37,26.28,0.9,Franco,5.6
4803,3597-09-10,3598-01-08,981.23,21.62,57.84,12.25,1407.44,4342.09,409.83,45198.0,N-19 P-17 K-18,Goteo,41.87,55.67,59.58,30.84,0.7,Arcilloso,7.2
4804,3598-01-08,3598-05-08,697.62,25.33,57.31,12.78,2528.29,4425.47,477.15,45324.0,N-18 P-18 K-18,Gravedad,31.16,57.87,41.89,37.1,0.8,Arcilloso,7.3
4805,3598-05-08,3598-09-05,632.17,20.99,84.2,12.92,563.14,4677.68,494.41,43959.0,N-19 P-17 K-15,Aspersion,26.93,56.41,44.83,26.41,0.5,Franco,7.1
4806,3598-09-05,3599-01-03,887.38,19.55,70.92,12.52,8.05,3820.47,403.63,48509.0,N-15 P-16 K-14,Goteo,23.64,40.03,52.04,17.42,1.0,Arcilloso,6.2
4807,3599-01-03,3599-05-03,902.51,18.76,54.41,12.03,2058.9,4720.26,460.75,40540.0,N-10 P-11 K-10,Goteo,34.67,58.24,41.22,17.03,0.8,Arenoso,6.7
4808,3599-05-03,3599-08-31,836.68,22.66,62.72,12.24,1735.5,3992.96,429.67,42004.0,N-10 P-20 K-15,Aspersion,26.21,41.39,68.49,32.26,1.0,Arenoso,5.6
4809,3599-08-31,3599-12-29,832.34,26.21,71.66,12.9,1340.6,4164.85,483.89,40648.0,N-10 P-15 K-16,Aspersion,33.14,35.0,59.54,13.54,0.6,Arenoso,5.9
4810,3599-12-29,3600-04-27,598.28,20.48,70.23,12.06,2706.32,3974.51,430.37,44435.0,N-20 P-18 K-10,Gravedad,35.95,51.18,40.4,11.77,0.6,Arcilloso,7.2
4811,3600-04-27,3600-08-25,436.12,27.4,75.34,12.05,1895.08,4592.83,492.49,40812.0,N-20 P-18 K-19,Goteo,48.87,56.05,59.51,36.88,0.7,Arcilloso,7.0
4812,3600-08-25,3600-12-23,947.94,25.38,50.41,12.48,1710.23,4049.59,467.35,44494.0,N-13 P-20 K-15,Gravedad,38.97,54.86,62.45,39.73,0.9,Arenoso,6.6
4813,3600-12-23,3601-04-22,492.53,20.41,77.07,12.35,1403.32,3053.05,425.27,44425.0,N-16 P-19 K-12,Goteo,34.95,36.46,56.63,41.5,0.9,Arcilloso,5.6
4814,3601-04-22,3601-08-20,768.73,22.84,73.51,12.65,2252.33,4906.66,405.43,47288.0,N-16 P-18 K-19,Aspersion,30.61,59.53,55.09,19.32,0.7,Arenoso,7.1
4815,3601-08-20,3601-12-18,712.21,21.22,59.06,12.95,2436.64,3629.97,432.5,42085.0,N-13 P-12 K-14,Goteo,31.07,45.2,50.28,38.96,0.5,Franco,5.7
4816,3601-12-18,3602-04-17,987.58,27.15,67.48,12.05,16.09,3283.49,459.27,40375.0,N-12 P-20 K-10,Goteo,23.24,43.75,41.18,49.03,0.8,Franco,6.8
4817,3602-04-17,3602-08-15,665.85,25.04,76.71,12.69,1423.88,4535.31,438.08,49880.0,N-14 P-10 K-15,Gravedad,37.45,46.7,58.73,13.91,0.9,Arcilloso,6.8
4818,3602-08-15,3602-12-13,476.73,21.67,80.12,12.66,1084.17,4043.92,440.26,42084.0,N-20 P-17 K-19,Gravedad,31.0,40.11,45.84,29.23,0.7,Arenoso,6.6
4819,3602-12-13,3603-04-12,942.11,22.24,62.1,12.6,938.23,3392.01,400.23,42193.0,N-20 P-12 K-17,Aspersion,42.99,46.69,61.95,44.23,0.7,Arcilloso,6.7
4820,3603-04-12,3603-08-10,943.14,18.92,88.97,12.74,23.25,4412.06,415.31,48742.0,N-18 P-19 K-17,Aspersion,40.8,35.93,51.58,34.83,0.7,Arenoso,6.4
4821,3603-08-10,3603-12-08,791.86,21.28,87.73,12.6,616.87,4447.53,449.08,43398.0,N-20 P-16 K-16,Aspersion,37.47,50.71,55.35,34.43,0.6,Arenoso,6.8
4822,3603-12-08,3604-04-06,938.69,21.1,63.37,12.01,2724.18,3352.52,418.47,41933.0,N-13 P-18 K-20,Gravedad,21.66,31.48,54.36,28.69,0.9,Arenoso,6.8
4823,3604-04-06,3604-08-04,739.86,18.37,73.98,12.9,2748.18,4930.37,425.76,44239.0,N-10 P-15 K-17,Gravedad,20.02,50.08,42.99,13.6,0.8,Arenoso,7.0
4824,3604-08-04,3604-12-02,980.43,25.65,86.72,12.04,2525.71,4085.0,487.2,41703.0,N-10 P-10 K-17,Gravedad,22.73,37.33,44.12,48.62,0.9,Arcilloso,7.0
4825,3604-12-02,3605-04-01,442.0,18.37,74.71,12.57,569.52,4937.38,432.14,42005.0,N-11 P-10 K-18,Aspersion,26.65,32.08,49.55,46.24,0.7,Arcilloso,5.7
4826,3605-04-01,3605-07-30,808.18,20.88,56.85,12.09,2557.04,3807.49,439.75,49096.0,N-10 P-13 K-17,Aspersion,38.28,33.08,59.12,18.18,0.9,Franco,6.8
4827,3605-07-30,3605-11-27,810.06,21.63,56.23,12.78,2065.18,4258.75,481.74,43110.0,N-15 P-17 K-15,Gravedad,39.4,41.36,67.69,18.26,0.7,Arenoso,6.4
4828,3605-11-27,3606-03-27,520.5,23.47,82.61,12.33,3113.66,3526.29,468.83,49939.0,N-17 P-12 K-10,Gravedad,22.23,41.45,54.25,49.58,0.9,Arenoso,6.1
4829,3606-03-27,3606-07-25,868.76,22.09,52.92,12.54,1401.39,4311.07,416.42,46118.0,N-17 P-10 K-14,Goteo,36.83,47.67,60.4,17.17,0.7,Arcilloso,5.6
4830,3606-07-25,3606-11-22,888.28,23.88,66.21,12.11,1062.56,3993.64,454.49,42568.0,N-12 P-18 K-14,Aspersion,39.17,32.43,60.24,41.42,0.9,Arcilloso,6.5
4831,3606-11-22,3607-03-22,846.08,18.66,57.85,12.48,1900.7,4409.91,495.88,47089.0,N-13 P-12 K-12,Gravedad,33.19,54.48,59.62,49.51,0.8,Franco,5.6
4832,3607-03-22,3607-07-20,428.21,25.07,79.04,12.75,2159.82,3517.34,488.1,44381.0,N-17 P-16 K-15,Gravedad,28.17,43.41,49.46,36.1,0.7,Arenoso,6.5
4833,3607-07-20,3607-11-17,482.07,19.92,74.6,12.08,482.48,4595.25,406.53,46852.0,N-12 P-10 K-13,Goteo,28.91,40.23,61.21,27.16,0.8,Arenoso,6.5
4834,3607-11-17,3608-03-16,820.52,19.41,52.41,12.21,1920.82,3908.58,406.93,40552.0,N-13 P-19 K-18,Gravedad,28.88,45.71,61.42,11.56,0.8,Arenoso,6.0
4835,3608-03-16,3608-07-14,616.38,24.79,55.74,12.18,804.71,4203.83,406.88,44420.0,N-16 P-11 K-19,Gravedad,47.73,58.71,62.05,34.7,0.7,Arcilloso,7.0
4836,3608-07-14,3608-11-11,679.85,18.22,56.69,12.18,1590.72,4943.63,454.32,48352.0,N-10 P-14 K-17,Aspersion,41.58,47.86,41.15,14.73,0.6,Arenoso,7.2
4837,3608-11-11,3609-03-11,743.7,18.93,63.12,12.29,85.26,4900.04,429.66,41324.0,N-11 P-20 K-18,Gravedad,25.5,42.23,45.88,45.33,0.8,Arcilloso,5.6
4838,3609-03-11,3609-07-09,599.27,18.04,53.12,12.01,569.31,4934.64,485.49,40971.0,N-19 P-17 K-14,Goteo,40.96,44.24,60.44,37.53,0.5,Arenoso,6.3
4839,3609-07-09,3609-11-06,800.84,20.02,76.31,12.31,3153.01,3944.54,434.7,40985.0,N-17 P-19 K-17,Aspersion,22.66,52.27,68.0,13.04,0.9,Franco,6.1
4840,3609-11-06,3610-03-06,901.89,24.44,66.92,12.46,1580.26,4297.12,479.62,45623.0,N-11 P-13 K-11,Aspersion,49.19,48.99,56.16,45.02,0.6,Franco,5.9
4841,3610-03-06,3610-07-04,832.28,18.27,67.52,12.16,2383.26,3736.51,462.12,43819.0,N-14 P-14 K-12,Gravedad,31.95,52.07,40.81,46.19,1.0,Arenoso,7.2
4842,3610-07-04,3610-11-01,808.0,27.5,87.49,12.93,2352.66,3762.45,481.74,44521.0,N-16 P-16 K-17,Goteo,38.64,35.12,67.93,44.91,0.7,Arenoso,5.9
4843,3610-11-01,3611-03-01,416.99,19.15,70.6,12.57,215.24,3548.34,458.37,43248.0,N-13 P-11 K-14,Gravedad,32.59,44.04,40.19,18.77,0.8,Arenoso,7.1
4844,3611-03-01,3611-06-29,769.96,20.46,57.26,12.03,3169.64,4703.89,433.72,45492.0,N-15 P-18 K-15,Goteo,26.8,45.4,45.84,29.93,1.0,Arenoso,6.8
4845,3611-06-29,3611-10-27,620.6,26.22,89.47,12.21,2579.82,4836.87,444.62,42910.0,N-11 P-10 K-19,Goteo,27.21,46.37,47.28,48.48,0.6,Franco,6.7
4846,3611-10-27,3612-02-24,614.39,18.35,83.96,12.5,1404.02,4578.15,421.27,44081.0,N-17 P-17 K-11,Gravedad,33.9,45.26,64.65,17.96,0.6,Arenoso,6.0
4847,3612-02-24,3612-06-23,933.82,18.2,54.45,12.54,1726.03,3298.09,469.1,45658.0,N-15 P-19 K-18,Aspersion,30.22,49.28,58.48,18.26,0.8,Arenoso,7.1
4848,3612-06-23,3612-10-21,460.59,27.26,58.54,12.71,1584.83,3458.72,499.52,40713.0,N-17 P-14 K-10,Aspersion,41.09,40.85,68.53,23.77,0.5,Franco,6.8
4849,3612-10-21,3613-02-18,898.13,20.58,87.5,12.68,864.43,4596.93,489.06,43790.0,N-20 P-17 K-20,Gravedad,23.84,39.94,41.72,19.7,0.6,Arcilloso,5.7
4850,3613-02-18,3613-06-18,783.49,20.87,52.78,12.45,684.37,4959.39,411.43,48824.0,N-11 P-20 K-14,Aspersion,38.11,55.64,51.72,23.95,0.5,Arcilloso,5.7
4851,3613-06-18,3613-10-16,566.08,23.23,50.44,12.55,3079.96,4322.6,405.52,44363.0,N-15 P-18 K-15,Gravedad,36.98,57.27,58.81,29.46,0.9,Arcilloso,6.3
4852,3613-10-16,3614-02-13,794.34,27.24,57.8,12.17,3048.37,3069.34,424.99,42378.0,N-17 P-11 K-14,Aspersion,45.85,36.46,40.23,19.58,0.8,Arcilloso,7.5
4853,3614-02-13,3614-06-13,480.1,21.34,54.92,12.17,1890.42,3207.02,424.32,42418.0,N-14 P-11 K-18,Aspersion,42.95,36.54,57.83,24.87,0.8,Arcilloso,7.2
4854,3614-06-13,3614-10-11,880.83,18.89,81.79,12.95,1031.51,3656.32,467.99,46717.0,N-10 P-16 K-12,Aspersion,27.85,53.18,45.87,48.28,1.0,Franco,6.6
4855,3614-10-11,3615-02-08,981.89,23.62,51.45,12.21,2339.45,3759.15,483.59,40053.0,N-18 P-16 K-10,Gravedad,21.23,47.27,47.71,40.81,1.0,Arcilloso,7.2
4856,3615-02-08,3615-06-08,753.29,23.42,68.02,12.84,3164.28,4267.53,466.46,44502.0,N-16 P-15 K-17,Gravedad,24.36,39.4,46.46,25.3,0.8,Arcilloso,6.4
